inc,es,fe,ter,hs,cr,cd,cc,cco
19500,1,1,1,0,0,0,,
18000,1,1,0,0,0,1,1,1
24000,1,1,0,1,1,1,1,0
21000,1,1,1,0,1,0,,
22000,1,1,1,0,0,1,1,0
11000,1,1,0,0,0,0,,
12000,4,0,1,1,0,0,,
21000,3,1,1,1,1,0,,
10000,1,1,1,0,0,0,,1
20000,1,1,1,0,0,0,,1
15000,1,1,1,0,0,1,1,0
12000,1,1,0,0,0,0,,
20000,3,1,0,0,1,1,0,1
15000,1,1,0,0,0,1,1,0
17000,1,1,1,1,0,0,,
6000,4,0,1,0,0,0,,
22000,1,1,0,0,0,0,,1
