inc,linc,es,fe,ter,hs,cr,cd,cc,cco
15000,4.176091259,2,0,1,0,1,1,0,1
13000,4.113943352,1,1,1,0,1,0,,
24000,4.380211242,1,1,1,1,1,1,1,0
23000,4.361727836,1,1,1,0,0,1,0,
9000,3.954242509,1,1,1,0,0,1,1,1
30000,4.477121255,1,1,1,0,0,1,1,0
15000,4.176091259,1,1,0,1,0,1,1,0
20000,4.301029996,1,1,0,0,0,0,,
3000,3.477121255,2,0,0,1,0,1,0,1
15000,4.176091259,3,1,0,0,0,0,,
7000,3.84509804,2,0,0,1,0,1,1,1
6000,3.77815125,4,0,0,0,0,1,1,1
15000,4.176091259,2,0,0,0,0,0,,
10000,4,1,1,1,1,1,1,1,1
4000,3.602059991,1,1,0,0,0,1,0,
21000,4.322219295,1,1,0,1,1,0,,
10000,4,2,0,0,0,0,0,,
11000,4.041392685,1,1,0,1,1,1,1,0
10000,4,1,1,0,1,0,0,,
0.01,-2,4,0,1,0,0,0,,
20000,4.301029996,4,0,1,0,1,1,1,0
24000,4.380211242,1,1,0,1,0,1,1,0
0.01,-2,4,0,0,0,0,0,,
14000,4.146128036,1,1,0,0,0,1,1,0
80000,4.903089987,1,1,0,1,1,1,0,0
10000,4,2,0,0,0,1,1,1,0
0.01,-2,4,0,0,0,0,0,,
15000,4.176091259,2,0,1,1,1,1,1,0
15650,4.194514342,2,0,0,0,0,1,1,1
24000,4.380211242,1,1,1,0,0,1,1,0
5000,3.698970004,1,1,0,1,0,0,,
