No.,Gd,MS,Ag,inc,oinc,es,fully employed,edu,Tertiary,as,new as,house,car,cd,cc,ncc,cco
62,2,1,29,19000,19000,1,1,3,0,4,1,1,1,1,1,1,0
63,2,1,46,21000,25000,1,1,5,1,1,0,0,0,0,,,
64,2,1,43,15000,15000,1,1,5,1,2,1,0,1,1,2,0,0
65,2,2,38,15000,15000,2,0,3,0,1,0,0,0,1,3,1,0
66,1,4,50,20000,20000,3,1,5,1,2,1,0,1,1,2,0,0
67,2,1,48,19500,19500,1,1,5,1,3,0,1,0,1,3,1,0
68,2,1,35,20000,20000,2,0,3,0,1,0,0,0,1,3,1,0
69,2,4,46,22000,25000,1,1,5,1,1,0,0,0,1,1,1,0
70,2,2,39,13000,13000,1,1,5,1,1,0,0,0,1,2,0,0
71,1,4,51,20000,20000,2,0,6,1,3,0,1,0,0,,,
72,2,1,35,10000,10000,2,0,3,0,2,1,0,1,1,3,1,0
73,1,2,40,12000,12000,1,1,2,0,2,1,0,1,1,3,1,1
74,1,2,39,10000,10000,1,1,3,0,2,1,0,1,1,3,1,1
75,2,2,52,15000,15000,2,0,3,0,2,1,0,1,1,2,0,0
76,1,2,46,16680,16680,1,1,5,1,1,0,0,0,1,1,1,1
77,2,1,36,20000,20000,1,1,3,0,3,0,1,0,1,3,1,0
78,2,3,42,10000,10000,2,0,3,0,1,0,0,0,1,2,0,1
79,2,4,45,8000,8000,2,0,3,0,1,0,0,0,0,,,
80,1,2,53,11000,25000,1,1,5,1,3,0,1,0,0,,,
81,2,2,36,17000,17000,1,1,3,0,1,0,0,0,0,,,
82,2,2,43,20000,20000,2,0,3,0,3,0,1,0,1,1,1,0
83,2,2,61,10000,10000,1,1,5,1,3,0,1,0,1,1,1,1
84,2,2,48,3000,3000,2,0,2,0,3,0,1,0,1,2,0,1
85,1,2,64,15000,15000,1,1,3,0,3,0,1,0,0,,,
86,1,1,40,10000,10000,4,0,2,0,1,0,0,0,1,2,0,0
87,2,2,38,15000,30000,1,1,5,1,3,0,1,0,1,1,1,1
88,1,4,53,10000,10000,3,1,6,1,2,1,0,1,1,3,1,0
89,1,2,36,10000,10000,1,1,2,0,4,1,1,1,1,2,0,0
90,2,2,42,9000,9000,1,1,2,0,1,0,0,0,1,2,0,0
91,2,1,33,20000,40000,1,1,3,0,2,1,0,1,1,1,1,0
92,1,4,45,5000,5000,3,1,5,1,1,0,0,0,1,1,1,0
